table,##,[Custom,WaveView],saved,19:44:50,Tue,Jan,16,2024
TIME,x_ssad.v(b5),x_ssad.v(b4),x_ssad.v(b3),x_ssad.v(b2),x_ssad.v(b1),x_ssad.v(b0),,,
8.00E-05,1.28E+00,1.28E+00,1.28E+00,1.32E+00,8.91E-06,1.32E+00,,,
1.30E-04,6.12E-03,6.12E-03,6.12E-03,1.28E+00,6.12E-03,6.12E-03,,,
1.80E-04,1.28E+00,1.28E+00,1.28E+00,1.28E+00,1.32E+00,8.81E-06,,,
2.30E-04,1.70E-03,1.70E-03,1.70E-03,1.70E-03,1.23E+00,1.29E+00,,,
2.80E-04,1.28E+00,1.28E+00,1.28E+00,1.28E+00,1.32E+00,8.86E-06,,,
3.30E-04,6.12E-03,6.12E-03,1.28E+00,6.12E-03,6.12E-03,6.12E-03,,,
3.80E-04,1.27E+00,1.31E+00,2.83E-05,1.31E+00,2.83E-05,1.31E+00,,,
4.30E-04,1.49E-03,1.29E+00,1.49E-03,1.49E-03,1.29E+00,1.49E-03,,,
4.80E-04,1.30E+00,2.19E-04,1.30E+00,2.19E-04,2.19E-04,1.30E+00,,,
5.30E-04,8.83E-06,1.28E+00,1.28E+00,1.28E+00,1.28E+00,1.32E+00,,,
5.80E-04,2.94E-04,1.25E+00,1.25E+00,1.30E+00,2.94E-04,2.94E-04,,,
6.30E-04,1.30E+00,2.53E-04,1.25E+00,1.30E+00,2.53E-04,2.53E-04,,,
6.80E-04,3.72E-05,3.72E-05,1.26E+00,1.26E+00,1.26E+00,1.31E+00,,,
7.30E-04,1.28E+00,1.32E+00,8.91E-06,1.28E+00,1.28E+00,1.32E+00,,,
7.80E-04,1.70E-03,1.70E-03,1.70E-03,1.23E+00,1.29E+00,1.70E-03,,,
8.30E-04,1.30E+00,1.30E+00,1.30E+00,1.30E+00,1.30E+00,1.33E+00,,,
8.80E-04,6.12E-03,6.12E-03,6.12E-03,6.12E-03,1.28E+00,6.12E-03,,,
9.30E-04,1.30E+00,1.30E+00,1.30E+00,1.30E+00,1.30E+00,1.33E+00,,,
9.80E-04,6.12E-03,6.12E-03,6.12E-03,1.28E+00,6.12E-03,6.12E-03,,,
1.03E-03,1.28E+00,1.28E+00,1.32E+00,8.91E-06,1.28E+00,1.32E+00,,,
1.08E-03,1.70E-03,1.70E-03,1.23E+00,1.29E+00,1.70E-03,1.70E-03,,,
1.13E-03,1.25E+00,1.30E+00,2.54E-04,2.54E-04,2.54E-04,1.30E+00,,,
1.18E-03,3.24E-05,1.31E+00,3.24E-05,1.26E+00,1.26E+00,1.31E+00,,,
1.23E-03,1.30E+00,2.54E-04,2.54E-04,2.54E-04,1.25E+00,1.30E+00,,,
1.28E-03,1.29E+00,1.49E-03,1.49E-03,1.29E+00,1.49E-03,1.49E-03,,,
1.33E-03,2.54E-04,1.30E+00,2.54E-04,1.25E+00,1.30E+00,2.54E-04,,,
1.38E-03,1.25E+00,1.30E+00,2.54E-04,2.54E-04,2.54E-04,1.30E+00,,,
1.43E-03,2.54E-04,2.54E-04,1.30E+00,2.54E-04,1.25E+00,1.30E+00,,,
1.48E-03,1.28E+00,1.28E+00,1.32E+00,8.91E-06,1.28E+00,1.32E+00,,,
1.53E-03,6.12E-03,6.12E-03,6.12E-03,1.28E+00,6.12E-03,6.12E-03,,,
1.58E-03,1.30E+00,1.30E+00,1.30E+00,1.30E+00,1.30E+00,1.33E+00,,,
1.63E-03,1.70E-03,1.70E-03,1.70E-03,1.70E-03,1.23E+00,1.29E+00,,,
1.68E-03,1.28E+00,1.28E+00,1.28E+00,1.28E+00,1.32E+00,8.79E-06,,,
1.73E-03,1.70E-03,1.70E-03,1.70E-03,1.23E+00,1.29E+00,1.70E-03,,,
1.78E-03,1.25E+00,1.25E+00,1.30E+00,2.94E-04,2.94E-04,2.94E-04,,,
1.83E-03,3.73E-05,3.73E-05,1.26E+00,1.26E+00,1.26E+00,1.31E+00,,,
1.88E-03,1.31E+00,2.83E-05,1.31E+00,2.83E-05,1.27E+00,1.31E+00,,,
1.93E-03,2.94E-04,1.25E+00,1.25E+00,1.30E+00,2.94E-04,2.94E-04,,,
1.98E-03,8.83E-06,1.28E+00,1.28E+00,1.28E+00,1.28E+00,1.32E+00,,,
2.03E-03,1.30E+00,2.19E-04,1.30E+00,2.19E-04,2.19E-04,1.30E+00,,,
2.08E-03,1.49E-03,1.29E+00,1.49E-03,1.49E-03,1.29E+00,1.49E-03,,,
2.13E-03,1.27E+00,1.31E+00,2.83E-05,1.31E+00,2.83E-05,1.31E+00,,,
2.18E-03,6.13E-03,6.13E-03,1.28E+00,6.13E-03,6.13E-03,6.13E-03,,,
2.23E-03,1.28E+00,1.28E+00,1.28E+00,1.32E+00,8.91E-06,1.32E+00,,,
2.28E-03,1.70E-03,1.70E-03,1.70E-03,1.70E-03,1.23E+00,1.29E+00,,,
2.33E-03,1.30E+00,1.30E+00,1.30E+00,1.30E+00,1.30E+00,1.33E+00,,,
2.38E-03,1.70E-03,1.70E-03,1.70E-03,1.70E-03,1.23E+00,1.29E+00,,,
2.43E-03,1.28E+00,1.28E+00,1.28E+00,1.32E+00,8.91E-06,1.32E+00,,,
2.48E-03,1.49E-03,1.49E-03,1.29E+00,1.49E-03,1.49E-03,1.29E+00,,,
2.53E-03,1.26E+00,1.31E+00,3.25E-05,3.25E-05,1.26E+00,1.31E+00,,,
2.58E-03,1.49E-03,1.29E+00,1.49E-03,1.29E+00,1.49E-03,1.49E-03,,,
2.63E-03,1.31E+00,3.25E-05,3.25E-05,1.26E+00,1.26E+00,1.31E+00,,,
2.68E-03,1.29E+00,1.49E-03,1.49E-03,1.49E-03,1.49E-03,1.29E+00,,,
2.73E-03,2.54E-04,1.25E+00,1.30E+00,2.54E-04,2.54E-04,1.30E+00,,,
2.78E-03,1.31E+00,3.25E-05,1.26E+00,1.26E+00,1.31E+00,3.25E-05,,,
2.83E-03,2.54E-04,2.54E-04,1.25E+00,1.30E+00,2.54E-04,1.30E+00,,,
2.88E-03,1.26E+00,1.26E+00,1.31E+00,3.25E-05,3.25E-05,1.31E+00,,,
2.93E-03,1.70E-03,1.70E-03,1.70E-03,1.23E+00,1.29E+00,1.70E-03,,,
2.98E-03,1.30E+00,1.30E+00,1.30E+00,1.30E+00,1.30E+00,1.33E+00,,,
3.03E-03,6.13E-03,6.13E-03,6.13E-03,6.13E-03,1.28E+00,6.13E-03,,,
3.08E-03,1.30E+00,1.30E+00,1.30E+00,1.30E+00,1.30E+00,1.33E+00,,,
3.13E-03,1.50E-03,1.50E-03,1.50E-03,1.29E+00,1.50E-03,1.29E+00,,,
3.18E-03,1.26E+00,1.26E+00,1.31E+00,3.25E-05,3.25E-05,1.31E+00,,,
3.23E-03,1.70E-03,1.70E-03,1.23E+00,1.29E+00,1.70E-03,1.70E-03,,,
3.28E-03,1.32E+00,8.91E-06,1.28E+00,1.28E+00,1.28E+00,1.32E+00,,,
3.33E-03,2.54E-04,1.25E+00,1.30E+00,2.54E-04,2.54E-04,1.30E+00,,,
3.38E-03,1.29E+00,1.50E-03,1.50E-03,1.50E-03,1.50E-03,1.29E+00,,,
3.43E-03,1.31E+00,3.25E-05,3.25E-05,1.26E+00,1.26E+00,1.31E+00,,,
3.48E-03,1.50E-03,1.29E+00,1.50E-03,1.29E+00,1.50E-03,1.50E-03,,,
3.53E-03,1.26E+00,1.31E+00,3.25E-05,3.25E-05,1.26E+00,1.31E+00,,,
3.58E-03,1.50E-03,1.50E-03,1.29E+00,1.50E-03,1.29E+00,1.50E-03,,,
3.63E-03,1.26E+00,1.26E+00,1.26E+00,1.31E+00,3.74E-05,3.73E-05,,,
3.68E-03,1.70E-03,1.70E-03,1.70E-03,1.70E-03,1.23E+00,1.29E+00,,,
3.73E-03,1.28E+00,1.28E+00,1.28E+00,1.28E+00,1.32E+00,8.80E-06,,,
3.78E-03,1.70E-03,1.70E-03,1.70E-03,1.70E-03,1.23E+00,1.29E+00,,,
3.83E-03,1.28E+00,1.28E+00,1.28E+00,1.28E+00,1.32E+00,8.87E-06,,,
